chr1	249250621	1246254
chr2	243199373	1215997
chr3	198022430	990113
chr4	191154276	955772
chr5	180915260	904577
chr6	171115067	855576
chr7	159138663	795694
chr8	146364022	731821
chr9	141213431	706068
chr10	135534747	677674
chr11	135006516	675033
chr12	133851895	669260
chr13	115169878	575850
chr14	107349540	536748
chr15	102531392	512657
chr16	90354753	451774
chr17	81195210	405977
chr18	78077248	390387
chr19	59128983	295645
chr20	63025520	315128
chr21	48129895	240650
chr22	51304566	256523
chrX	155270560	776353
